name,prob_f,prob_m,gender
AROA,1.0,0.0,F
LEONOR,1.0,0.0,F
BARBARA,1.0,0.0,F
MARIANA,1.0,0.0,F
GABRIELA,1.0,0.0,F
LOLA,1.0,0.0,F
JUDITH,1.0,0.0,F
ESTER,1.0,0.0,F
RAMONA,1.0,0.0,F
GUADALUPE,0.9983196599782544,0.0016803400217455767,F
JIMENA,1.0,0.0,F
BERTA,1.0,0.0,F
SHEILA,1.0,0.0,F
CECILIA,1.0,0.0,F
JOAQUINA,1.0,0.0,F
NORA,1.0,0.0,F
MARIA MAGDALENA,1.0,0.0,F
JENNIFER,1.0,0.0,F
JUDIT,1.0,0.0,F
ALEXANDRA,1.0,0.0,F
HELENA,1.0,0.0,F
MARIA ENCARNACION,1.0,0.0,F
ESTRELLA,1.0,0.0,F
JULIANA,1.0,0.0,F
ROSALIA,1.0,0.0,F
NADIA,1.0,0.0,F
OLIVIA,1.0,0.0,F
SORAYA,1.0,0.0,F
MARIA FRANCISCA,1.0,0.0,F
RUTH,1.0,0.0,F
ELSA,1.0,0.0,F
AGUSTINA,1.0,0.0,F
PETRA,1.0,0.0,F
MARIA MONTSERRAT,1.0,0.0,F
MARIA YOLANDA,1.0,0.0,F
ERIKA,1.0,0.0,F
NAIARA,1.0,0.0,F
MARIA GLORIA,1.0,0.0,F
ADORACION,0.9980163500841548,0.001983649915845155,F
MARIA MILAGROS,1.0,0.0,F
PAOLA,1.0,0.0,F
MARIA CONSUELO,1.0,0.0,F
MAR,0.9966600692726373,0.003339930727362692,F
AINA,1.0,0.0,F
LEYRE,1.0,0.0,F
AIDA,1.0,0.0,F
ALMA,1.0,0.0,F
AFRICA,1.0,0.0,F
MACARENA,1.0,0.0,F
ESTELA,1.0,0.0,F
VEGA,1.0,0.0,F
AMAIA,1.0,0.0,F
VERA,1.0,0.0,F
YAIZA,1.0,0.0,F
TATIANA,1.0,0.0,F
ELISABETH,1.0,0.0,F
ABRIL,1.0,0.0,F
MARIA REMEDIOS,1.0,0.0,F
MARIA REYES,1.0,0.0,F
EUGENIA,1.0,0.0,F
SARAY,1.0,0.0,F
KHADIJA,1.0,0.0,F
EULALIA,1.0,0.0,F
IRIA,1.0,0.0,F
AMANDA,1.0,0.0,F
MARIA ARANZAZU,1.0,0.0,F
IRIS,1.0,0.0,F
ITZIAR,1.0,0.0,F
MARIA TRINIDAD,1.0,0.0,F
HERMINIA,1.0,0.0,F
JOANA,1.0,0.0,F
ARANZAZU,1.0,0.0,F
MARIA ESPERANZA,1.0,0.0,F
ANE,1.0,0.0,F
MAITE,1.0,0.0,F
ENRIQUETA,1.0,0.0,F
MARIA FERNANDA,1.0,0.0,F
PIEDAD,1.0,0.0,F
MIRIAN,0.9980887846407784,0.001911215359221614,F
FLORENTINA,1.0,0.0,F
ANA ROSA,1.0,0.0,F
ELIZABETH,1.0,0.0,F
MERITXELL,1.0,0.0,F
DESIREE,1.0,0.0,F
GREGORIA,1.0,0.0,F
ANTONIA MARIA,1.0,0.0,F
NEUS,1.0,0.0,F
VIOLETA,1.0,0.0,F
MARIA SOL,1.0,0.0,F
AURELIA,1.0,0.0,F
RITA,1.0,0.0,F
SALMA,1.0,0.0,F
MARIA INES,1.0,0.0,F
MARIA JULIA,1.0,0.0,F
TRIANA,1.0,0.0,F
CANDIDA,1.0,0.0,F
ELIA,0.9905810033710093,0.00941899662899068,F
AMAYA,1.0,0.0,F
CHLOE,1.0,0.0,F
MERCE,1.0,0.0,F
LYDIA,1.0,0.0,F
ALBA MARIA,1.0,0.0,F
JANA,1.0,0.0,F
CARIDAD,1.0,0.0,F
IRINA,1.0,0.0,F
ESMERALDA,1.0,0.0,F
NAYARA,1.0,0.0,F
LUNA,1.0,0.0,F
SAGRARIO,1.0,0.0,F
IRATI,1.0,0.0,F
ROSER,1.0,0.0,F
ANA CRISTINA,1.0,0.0,F
MARIA MANUELA,1.0,0.0,F
MIA,1.0,0.0,F
MARIA CANDELARIA,1.0,0.0,F
MARIA GRACIA,1.0,0.0,F
GISELA,1.0,0.0,F
AGUEDA,1.0,0.0,F
MARIA ASCENSION,1.0,0.0,F
ALEXIA,1.0,0.0,F
AYA,1.0,0.0,F
AICHA,1.0,0.0,F
CONSOLACION,1.0,0.0,F
NAIMA,1.0,0.0,F
ANGELA MARIA,1.0,0.0,F
ADELINA,1.0,0.0,F
MARIA DOLORS,1.0,0.0,F
MARIA PURIFICACION,1.0,0.0,F
MARIAM,1.0,0.0,F
ZAIRA,1.0,0.0,F
ZOE,0.9882503489995347,0.011749651000465332,F
